filePath,totalLines,wordCount,totalByteCount,maxLineWidth
/home/home/Desktop/programming/c++/MakeFile/SimpleMakeFileTest1/main.cpp,7,10,99,32
/home/home/Desktop/programming/c++/MakeFile/SimpleMakeFileTest2/main.cpp,8,15,130,32
/home/home/Desktop/programming/c++/MakeFile/SimpleMakeFileTest2/student.cpp,4,8,96,50
/home/home/Desktop/programming/c++/SimpleProgramOpener/main.cpp,163,296,2976,91
/home/home/Desktop/programming/c++/algorithms/ArrayChecker.cpp,23,46,537,65
/home/home/Desktop/programming/c++/algorithms/backtrack/backTrack.cpp,139,151,1561,58
/home/home/Desktop/programming/c++/algorithms/backtrack/backTrackWorking.cpp,141,90,881,43
/home/home/Desktop/programming/c++/algorithms/backtrack/eightQueen/main.cpp,126,268,2653,142
/home/home/Desktop/programming/c++/algorithms/geneticAlgorithm/main.cpp,126,238,4102,151
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/coins.cpp,48,68,557,68
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/activity/main.cpp,269,495,5634,111
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/egymptianFraction/egyptianFractionFirst/main.cpp,67,104,1544,110
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/egymptianFraction/egyptianFractionSecond/main.cpp,107,235,3645,170
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/main.cpp,252,557,5400,99
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/main1.cpp,73,189,1835,164
/home/home/Desktop/programming/c++/algorithms/numbers/PerfectNumberChecker/PerfectNumberChecker.cpp,36,66,1280,114
/home/home/Desktop/programming/c++/algorithms/numbers/PrimeNumberChecker/PrimeNumberChecker.cpp,29,55,682,111
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/calculatePiUsingRadndomNumbers/main.cpp,64,133,1532,130
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/calculatePiUsingRadndomNumbers/main1.cpp,74,52,527,64
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/calculatePiUsingRadndomNumbers/main2.cpp,96,63,578,61
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/calculatePiUsingRadndomNumbers/main3.cpp,30,97,648,113
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/lasVegas/main.cpp,269,528,6910,184
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/monteKarlo/main.cpp,41,75,801,74
/home/home/Desktop/programming/c++/algorithms/recursion/main1.cpp,167,371,1773,50
/home/home/Desktop/programming/c++/algorithms/recursion/main2.cpp,140,72,741,31
/home/home/Desktop/programming/c++/algorithms/recursion/lect/factorial.cpp,58,81,1143,51
/home/home/Desktop/programming/c++/algorithms/recursion/lect/fibonaci.cpp,63,108,991,48
/home/home/Desktop/programming/c++/algorithms/recursion/lect/gcd.cpp,45,84,877,55
/home/home/Desktop/programming/c++/algorithms/recursion/lect/hw1.cpp,56,65,696,27
/home/home/Desktop/programming/c++/algorithms/recursion/lect/hw2.cpp,77,77,913,41
/home/home/Desktop/programming/c++/algorithms/recursion/lect/reverseCharInput.cpp,13,19,213,27
/home/home/Desktop/programming/c++/algorithms/recursion/lect/towerOfHanoi.cpp,34,41,473,69
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/NumberFinder.cpp,1,2,89,88
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/BinarySearcher/include/BinarySearcher.cpp,47,118,1306,147
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/FibonacciSearcher/fibonacci_search_sorted_array.cpp,190,233,2780,153
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/JumpSearcher/include/JumpSearcher.cpp,48,73,1126,158
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/LinearSearcher/include/LinearSearcher.cpp,49,97,1313,139
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/homework/ex1.cpp,37,46,780,105
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/homework/ex2.cpp,37,47,596,75
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/NumberSorter.cpp,10,18,277,61
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/compareTree.cpp,32,56,683,46
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/main.cpp,23,37,564,107
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/BubbleSorter/include/BubbleSorter.cpp,18,23,519,103
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/CombSorter/include/CombSorter.cpp,44,83,1268,99
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/InsertionSorter/include/InsertionSorter.cpp,18,37,797,123
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/SelectionSorter/include/SelectionSorter.cpp,31,63,1233,194
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/ShakeSorter/main.cpp,14,28,328,70
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/ShakeSorter/include/ShakeSorter.cpp,32,63,960,101
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/CountSorter/include/CountSorter.cpp,57,113,1955,149
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/HeapSorter/include/HeapSorter.cpp,46,88,1636,123
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/MergeSorter/main.cpp,24,40,535,116
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/MergeSorter/include/MergeSorter.cpp,66,111,1840,110
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/PigeonHoleSorter/include/PigeonSorter.cpp,
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/QuickSorter/include/QuickSorter.cpp,39,71,880,110
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/ShellSorter/include/ShellSorter.cpp,27,71,1110,110
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/hw/isArrayMonotonouseInreasing.cpp,87,65,566,53
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/hw/sequentiallyEqualNumbers.cpp,58,79,659,67
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/lexicograph/lexicographSort.cpp,50,35,359,63
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/homework/combine_two_sorted_arrays_in_one.cpp,136,134,2351,152
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/homework/onUnsortedToSorted.cpp,76,31,371,57
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/homework/sort_event_odd_row.cpp,157,127,1408,59
/home/home/Desktop/programming/c++/dataStructures/stack.cpp,105,172,1846,60
/home/home/Desktop/programming/c++/dataStructures/stack_simple.cpp,114,156,1630,41
/home/home/Desktop/programming/c++/dataStructures/Deque/include/Deque.cpp,41,74,825,78
/home/home/Desktop/programming/c++/dataStructures/LinkedList/LinkedList.cpp,278,623,6002,125
