filePath,totalLines,wordCount,totalByteCount,maxLineWidth
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/lexicograph/lexicographSort.cpp,50,35,359,63
/home/user/Desktop/programming/c++/algorithms/probabilisticAlgorithms/lasVegas/LassVegas.h,50,82,1439,87
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/KnapSack.cpp,49,80,1971,139
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/LinearSearcher/include/LinearSearcher.cpp,49,97,1313,139
/home/user/Desktop/programming/c++/dataStructures/graph/DFS.cpp,49,73,1198,72
/home/user/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/Kruskal.cpp,49,74,1695,93
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/coins.cpp,48,68,557,68
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/JumpSearcher/include/JumpSearcher.cpp,48,73,1126,158
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/BinarySearcher/include/BinarySearcher.cpp,47,118,1306,147
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/HeapSorter/include/HeapSorter.cpp,46,88,1636,123
/home/user/Desktop/programming/c++/algorithms/recursion/lect/gcd.cpp,45,84,877,55
/home/user/Desktop/programming/c++/dataStructures/Stack/include/Stack.cpp,45,80,934,78
/home/user/Desktop/programming/c++/dataStructures/tree/FirstSearchUtil.h,45,82,1045,72
/home/user/Desktop/programming/c++/dataStructures/Queue/include/Queue.cpp,43,76,832,78
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/CombSorter/include/CombSorter.cpp,42,78,1185,99
/home/user/Desktop/programming/c++/algorithms/probabilisticAlgorithms/monteKarlo/main.cpp,41,75,801,74
/home/user/Desktop/programming/c++/dataStructures/Deque/include/Deque.cpp,41,74,825,78
/home/user/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/main.cpp,41,71,1394,103
/home/user/Desktop/programming/c++/dataStructures/graph/dfs/graphDfs.cpp,40,74,893,90
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/QuickSorter/include/QuickSorter.cpp,39,71,880,110
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListDeleter.h,39,60,1417,124
/home/user/Desktop/programming/c++/dataStructures/tree/tree.h,39,70,1035,100
/home/user/Desktop/programming/c++/algorithms/numbers/NumberChecker.h,38,98,1117,99
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/homework/ex1.cpp,37,46,780,105
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/homework/ex2.cpp,37,47,596,75
/home/user/Desktop/programming/c++/algorithms/numbers/PerfectNumberChecker/PerfectNumberChecker.cpp,36,66,1280,114
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/MergeSorter/src/MergeSorter.h,36,75,1177,129
/home/user/Desktop/programming/c++/algorithms/recursion/lect/towerOfHanoi.cpp,34,41,473,69
/home/user/Desktop/programming/c++/geeksforgeeks/recursion.cpp,33,47,428,41
/home/user/Desktop/programming/c++/dataStructures/graph/dijkstra/dijkstra.h,33,58,1019,95
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/main.cpp,32,51,991,105
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/compareTree.cpp,32,56,683,46
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/CountSorter/include/CountSorter.cpp,32,39,849,110
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/PigeonSorter/src/PigeonSorter.h,32,41,615,90
/home/user/Desktop/programming/c++/dataStructures/tree/TreeFinderUtil.cpp,31,61,701,78
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListSetter.h,31,83,1062,122
/home/user/Desktop/programming/c++/dataStructures/Queue/src/Queue.h,31,47,509,100
/home/user/Desktop/programming/c++/algorithms/probabilisticAlgorithms/calculatePiUsingRadndomNumbers/main3.cpp,30,97,648,113
/home/user/Desktop/programming/c++/algorithms/numbers/PrimeNumberChecker/PrimeNumberChecker.cpp,29,55,682,111
/home/user/Desktop/programming/c++/MakeFile/SimpleMakeFileTest2/student.h,29,18,224,40
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/SelectionSorter/include/SelectionSorter.cpp,28,58,1144,194
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/ShakeSorter/include/ShakeSorter.cpp,28,58,874,101
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/NumberSorter.h,28,40,723,90
/home/user/Desktop/programming/c++/dataStructures/Stack/src/Stack.h,28,45,469,100
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/ShellSorter/include/ShellSorter.cpp,27,71,1110,110
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/NumberSearcher.h,27,57,612,115
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListGetter.h,27,48,680,104
/home/user/Desktop/programming/c++/dataStructures/graph/dijkstra/DijkstraUtil.h,26,67,865,103
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/CombSorter/src/CombSorter.h,25,42,632,88
/home/user/Desktop/programming/c++/dataStructures/Deque/src/Deque.h,25,40,432,86
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/activity/main.cpp,24,44,755,100
/home/user/Desktop/programming/c++/dataStructures/graph/primAlgorithm/main1.cpp,24,61,823,101
/home/user/Desktop/programming/c++/dataStructures/graph/primAlgorithm/Prim.h,24,40,442,56
/home/user/Desktop/programming/c++/algorithms/ArrayChecker.cpp,23,46,537,65
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/main.cpp,23,37,564,107
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListSizeHelper.cpp,23,25,425,54
/home/user/Desktop/programming/c++/dataStructures/tree/BFS/bfs.cpp,23,43,551,116
/home/user/Desktop/programming/c++/dataStructures/tree/DFS/dfs.cpp,23,47,620,116
/home/user/Desktop/programming/c++/algorithms/numbers/PrimeNumberChecker/PrimeNumberChecker.h,23,28,444,81
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListAppender.h,23,44,816,93
/home/user/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/CycleDetector.h,23,43,732,90
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListPrinter.h,22,36,501,71
/home/user/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/Kruskal.h,22,44,610,79
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/ItemHelper.cpp,21,39,500,95
/home/user/Desktop/programming/c++/algorithms/numbers/PerfectNumberChecker/PerfectNumberChecker.h,21,27,492,80
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/BinarySearcher/src/BinarySearcher.h,21,35,440,90
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/InsertionSorter/src/InsertionSorter.h,21,25,394,89
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/JumpSearcher/src/JumpSearcher.h,20,29,442,115
/home/user/Desktop/programming/c++/dataStructures/graph/bfs/graphBfsOptimized.cpp,19,30,237,47
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/activity/ActivityMaker.h,19,24,403,53
/home/user/Desktop/programming/c++/algorithms/numbers/NullptrChecker.h,19,29,309,72
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/LinearSearcher/src/LinearSearcher.h,19,23,478,103
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/HeapSorter/src/HeapSorter.h,19,29,444,88
/home/user/Desktop/programming/c++/dataStructures/graph/DFS.h,19,30,300,37
/home/user/Desktop/programming/c++/algorithms/probabilisticAlgorithms/lasVegas/main.cpp,18,29,610,106
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/BubbleSorter/include/BubbleSorter.cpp,18,23,519,103
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/InsertionSorter/include/InsertionSorter.cpp,18,37,797,123
/home/user/Desktop/programming/c++/exception/exception.cpp,17,29,280,52
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/ShakeSorter/src/ShakeSorter.h,17,25,323,64
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/ShellSorter/src/ShellSorter.h,17,24,397,88
/home/user/Desktop/programming/c++/dataStructures/tree/BFS/bfs.h,17,22,299,83
/home/user/Desktop/programming/c++/dataStructures/tree/DFS/dfs.h,17,26,333,83
/home/user/Desktop/programming/c++/dataStructures/graph/Graph.cpp,16,22,635,82
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/KnapSack.h,16,37,357,50
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/BubbleSorter/src/BubbleSorter.h,16,20,268,88
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/CountSorter/src/CountSorter.h,16,28,429,90
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListChecker.h,16,30,328,64
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListSizeHelper.h,15,19,224,41
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/ItemHelper.h,14,24,187,30
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListException.h,14,22,267,47
/home/user/Desktop/programming/c++/dataStructures/tree/Leaf.h,14,34,219,66
/home/user/Desktop/programming/c++/algorithms/recursion/lect/reverseCharInput.cpp,13,19,213,27
/home/user/Desktop/programming/c++/dataStructures/Queue/main.cpp,13,23,309,84
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/SelectionSorter/src/SelectionSorter.h,13,35,452,105
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/QuickSorter/src/QuickSorter.h,13,22,278,88
/home/user/Desktop/programming/c++/dataStructures/graph/Graph.h,12,22,188,49
/home/user/Desktop/programming/c++/algorithms/numbers/NumberSwapper.h,11,25,281,76
/home/user/Desktop/programming/c++/dataStructures/graph/GraphFlags.h,11,32,244,38
/home/user/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/GraphFlags.h,11,32,244,38
/home/user/Desktop/programming/c++/algorithms/sortAlgorithms/NumberSorter.cpp,10,18,277,61
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/LinkedListException.cpp,10,34,479,125
/home/user/Desktop/programming/c++/dataStructures/LinkedList/src/linkedListStruct.h,10,18,175,35
/home/user/Desktop/programming/c++/dataStructures/tree/BFS/main.cpp,9,10,136,75
/home/user/Desktop/programming/c++/MakeFile/SimpleMakeFileTest2/main.cpp,8,15,130,32
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/main1.cpp,8,16,122,63
/home/user/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/vertexConnections.h,8,11,118,33
